Artist,Album,Title,Key,BPM,Energy
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),"Walking at Night, Alone",D,157.22,6
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),Never Had the Chance,D,95.00,6
Armor For Sleep,What To Do When You Are Dead,Car Underwater,Bm,148.10,6
Armor For Sleep,Instrumental,Hold the Door (Instrumental),E,82.00,6
Armor For Sleep,Instrumental,Basement Ghost Singing (Instrumental),F#m,133.02,6
Armor For Sleep,Smile For Them (Standard Version),Stars in Your Eyes,Fm,80.00,7
Armor For Sleep,What To Do When You Are Dead,A Quick Little Flight,Em,87.01,5
Armor For Sleep,Dream to Make Believe,Phantoms Now,D,84.00,6
Armor For Sleep,The Way Out Is Broken,The Way Out Is Broken,Bm,112.10,7
Armor For Sleep,Dream to Make Believe,The Wanderers Guild,Am,84.00,6
Armor For Sleep,Dream to Make Believe,Slip Like Space,F#m,82.00,6
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),The More You Talk the Less I Hear,Dm,83.75,6
Armor For Sleep,The Killer In You: A Tribute To Smashing Pumpkins,Today,D#,85.00,6
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),The End of a Fraud,Dm,80.01,5
Armor For Sleep,Instrumental,Know What You Have (Instrumental),B,158.00,6
Armor For Sleep,Dream to Make Believe,Armor for Sleep,F#m,108.02,4
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),Standing Alone,A,84.00,7
Armor For Sleep,Smile For Them (Standard Version),Somebody Else's Arms,Bm,155.00,7
Armor For Sleep,Dream to Make Believe,Wanderers Guild,Am,84.00,6
Armor For Sleep,Instrumental,A Quick Little Flight (Instrumental),Em,87.01,5
Armor For Sleep,Transformers: The Album,End Of The World,Em,80.07,7
Armor For Sleep,Five Song Demo,Dream To Make Believe,Am,150.08,7
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),I Have Been Right All Along,Bm,84.99,7
Armor For Sleep,Smile For Them (Standard Version),Run Right Back In,D,82.01,7
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),Car Underwater (Demo),D,148.00,7
Armor For Sleep,Smile For Them (Standard Version),Smile for the Camera,F#m,82.50,7
Armor For Sleep,Smile For Them (Standard Version),End of the World,Em,80.00,7
Armor For Sleep,Instrumental,The Truth About Heaven (Instrumental),Bm,123.09,6
Armor For Sleep,Smile For Them (Standard Version),Lullaby,A,150.00,7
Armor For Sleep,The Way Out Is Broken,We'll Own the World,C#,156.00,7
Armor For Sleep,What To Do When You Are Dead,The More You Talk The Less I Hear,Dm,83.76,6
Armor For Sleep,Five Song Demo,Slip Like Space,F#m,79.55,6
Armor For Sleep,The Way Out Is Broken,Know What You Have,G#m,158.00,6
Armor For Sleep,Smile For Them (Standard Version),Chemicals,F#m,85.01,7
Armor For Sleep,What to Do When You Are Dead (15th Anniversary),A Quick Little Flight,Em,87.01,5
Armor For Sleep,Dream to Make Believe,My Town,A#,86.00,7
Armor For Sleep,What To Do When You Are Dead,Very Invisible (Bonus Track),F#m,80.01,5
Armor For Sleep,What To Do When You Are Dead,The Truth About Heaven,Bm,92.31,6
Armor For Sleep,Dream to Make Believe,Dream to Make Believe,Am,81.25,6
